"CODE" "OURCODE" "CS" "PS" "LC"
"677" "M8GE-IIh-1" "M08GE2038" NA NA "uses inductive or deductivereasoning in an argument."
"678" "M8GE-IIi-j" "M08GE2039" NA NA "writes a proof (both direct and indirect)."
"679" "M8GE-IIIa-1" "M08GE3040" " understanding of key concepts of axiomatic structure of geometry and triangle congruence.    " "  formulate an organized plan to handle a real-life situation. _ communicate mathematical thinking with coherence and clarity in formulating, investigating, analyzing, and solving real-life problems involving congruent triangles using appropriate and accurate representations." "describes a mathematical system."
"680" "M8GE-IIIa-c" "M08GE3041" NA NA "illustrates the need for an axiomatic structure of a mathematical system in general, and in Geometry in particular: (a) defined terms; (b) undefined terms; (c) postulates; and(d) theorems."
"681" "M8GE-IIId-1" "M08GE3042" NA NA "illustrates triangle congruence."
"682" "M8GE-IIId-e" "M08GE3043" NA NA "illustrates the SAS, ASA and SSS congruence postulates."
"683" "M8GE-IIIf-1" "M08GE3044" NA NA "solves corresponding parts of congruent triangles"
"684" "M8GE-IIIg-1" "M08GE3045" NA NA "proves two triangles are  congruent."
"685" "M8GE-IIIh-1" "M08GE3046" NA NA "proves statements on triangle congruence."
"686" "M8GE-IIIi-j" "M08GE3047" NA NA "applies triangle congruence to construct perpendicular lines  and angle bisectors."
"687" "M8GE-IVa-1" "M08GE4048" " understanding of key concepts of inequalities in a triangle, and parallel and perpendicular lines._ understanding of key concepts of probability." " communicate mathematical thinking with coherence and clarity in formulating, investigating, analyzing, and solving real- life problems involving triangle inequalities, and parallelism and perpendicularity of lines using appropriate and accurate representations._ formulate and solve practical problems involving probability of simple events." "illustrates  theorems on triangle inequalities (Exterior Angle InequalityTheorem, Triangle Inequality Theorem, Hinge Theorem)."
"688" "M8GE-IVb-1" "M08GE4049" NA NA "applies theorems on triangle inequalities."
"689" "M8GE-IVc-1" "M08GE4050" NA NA "proves inequalities in a triangle."
"690" "M8GE-IVd-1" "M08GE4051" NA NA "proves properties of parallel lines cut by a transversal."
"691" "M8GE-IVe-1" "M08GE4052" NA NA "determines the conditions under which lines and segments are parallel or perpendicular."
"692" "M8GE-IVf-1" "M08GE4053" NA NA "illustrates an experiment, outcome, sample space and event."
"693" "M8GE-IVf-g" "M08GE4054" NA NA "counts the number of occurrences of an outcome in an experiment: (a) table; (b) tree diagram; (c) systematiclisting; and (d) fundamental counting principle."
"694" "M8GE-IVh-1" "M08GE4055" NA NA "finds the probability of a simple event."
"695" "M8GE-IVi-1" "M08GE4056" NA NA "illustrates an experimental probability and a theoretical probability."
"696" "M8GE-IVi-j" "M08GE4057" NA NA "solves problems involving probabilitiesof simple events."
"697" "M9AL-Ia-1" "M09AL1001" " understanding of key concepts of quadratic equations, inequalities and functions, and rational algebraic equations." " investigate thoroughly mathematical relationships in various situations, formulate real- life problems involving quadratic equations, inequalities and functions, and rational algebraic equations and solve them using a variety of strategies." "illustrates quadratic equations."
"698" "M9AL-Ia-b" "M09AL1002" NA NA "solves quadratic equations by: (a) extracting square roots; (b) factoring;(c) completing the square; and (d) using the quadratic formula."
"699" "M9AL-Ic-1" "M09AL1003" NA NA "characterizes the roots of a quadratic equation using the discriminant."
"700" "M9AL-Ic-2" "M09AL1004" NA NA "describes the relationship between the coefficients and the roots of a quadratic equation."
"701" "M9AL-Ic-d" "M09AL1005" NA NA "solves equations transformable to quadratic equations (including rational algebraic equations)."
"702" "M9AL-Ie-1" "M09AL1006" NA NA "solves problems involving quadratic equations and rational algebraic equations."
"703" "M9AL-If-1" "M09AL1007" NA NA "illustrates quadratic inequalities"
"704" "M9AL-If-2" "M09AL1008" NA NA "solves quadratic inequalities."
"705" "M9AL-If-g" "M09AL1009" NA NA "solves problems involving quadratic inequalities."
"706" "M9AL-Ig-2" "M09AL1010" NA NA "models real-life situations using quadratic functions."
"707" "M9AL-Ig-3" "M09AL1011" NA NA "represents a quadratic function using: (a) table of values; (b) graph; and (c) equation."
"708" "M9AL-Ih-1" "M09AL1012" NA NA "transforms the quadratic functiondefined byy = ax2 + bx + cinto the_formy"
"709" "M9AL-Ig-h" "M09AL1013" NA NA "graphs a quadratic function: (a) domain; (b) range; (c) intercepts;(d) axis of symmetry; (e) vertex;(f) direction of the opening of the parabola."
"710" "M9AL-Ii-2" "M09AL1014" NA NA "analyzes the effects of changing the values of a, h and k in the equation y = a(x – h)2 + k of a quadratic function on its graph."
"711" "M9AL-Ij-1" "M09AL1015" NA NA "determines the equation of a quadratic function given: (a) a table of values; (b) graph; (c) zeros."
"712" "M9AL-Ii-j" "M09AL1016" NA NA "solves problems involving quadratic functions."
"713" "M9AL-IIa-1" "M09AL2017" " understanding of key concepts of variation and radicals." " formulate and solve accurately problems involving radicals." "illustrates situations that involve the following variations: (a) direct; (b) inverse; (c) joint; (d) combined."
"714" "M9AL-IIa-b" "M09AL2018" NA NA "translates into variation statement a relationship between two quantities given   by: (a) a table of values; (b) a mathematical equation; (c) a graph, and vice versa."
"715" "M9AL-IIb-c" "M09AL2019" NA NA "solves problems involving variation."
"716" "M9AL-IId-1" "M09AL2020" NA NA "applies the laws involving positive integral exponents to zero and negative integral exponents."
"717" "M9AL-IId-2" "M09AL2021" NA NA "illustrates expressions with rational exponents."
"718" "M9AL-IIe-1" "M09AL2022" NA NA "simplifies expressions with rational exponents."
"719" "M9AL-IIf-1" "M09AL2023" NA NA "writes expressions with rational exponents as radicals and vice versa."
"720" "M9AL-IIf-2" "M09AL2024" NA NA "derives the laws of radicals."
"721" "M9AL-IIg-1" "M09AL2025" NA NA "simplifies radical expressions using the laws of radicals."
"722" "M9AL-IIh-1" "M09AL2026" NA NA "performs operations on radical expressions."
"723" "M9AL-IIi-1" "M09AL2027" NA NA "solves equations involving radical expressions."
"724" "M9AL-IIj-1" "M09AL2028" NA NA "solves problems involving radicals."
"725" "M9GE-IIIa-1" "M09GE3029" " understanding of key concepts of parallelograms and triangle similarity." " investigate, analyze, and solve problems involving parallelograms and triangle similarity through appropriate and accurate representation." "identifies quadrilaterals that are parallelograms."
"726" "M9GE-IIIa-2" "M09GE3030" NA NA "determines the conditions that make a quadrilateral a parallelogram."
"727" "M9GE-IIIb-1" "M09GE3031" NA NA "uses properties to find measures of angles, sides and other quantities involving parallelograms."
"728" "M9GE-IIIc-1" "M09GE3032" NA NA "proves theorems on the different kinds of parallelogram (rectangle, rhombus, square)."
"729" "M9GE-IIId-1" "M09GE3033" NA NA "proves the Midline Theorem."
"730" "M9GE-IIId-2" "M09GE3034" NA NA "proves theorems on trapezoids and kites."
"731" "M9GE-IIIe-1" "M09GE3035" NA NA "solves problems involving parallelograms, trapezoids and kites."
"732" "M9GE-IIIf-1" "M09GE3036" NA NA "describes a proportion."
"733" "M9GE-IIIf-2" "M09GE3037" NA NA "applies the fundamental theorems of proportionality to solve problems involving proportions."
"734" "M9GE-IIIg-1" "M09GE3038" NA NA "illustrates similarity of figures."
"735" "M9GE-IIIg-h" "M09GE3039" NA NA "proves the conditions for similarity of triangles."
"736" "M9GE-IIIi-1" "M09GE3040" NA NA "applies the theorems to show that given triangles are similar."
"737" "M9GE-IIIi-2" "M09GE3041" NA NA "proves the Pythagorean Theorem."
"738" "M9GE-IIIj-1" "M09GE3042" NA NA "solves problems that involve triangle similarity and right triangles."
"739" "M9GE-IVa-1" "M09GE4043" " understanding of the basic concepts of trigonometry." " apply the concepts of trigonometric ratios to formulate and solve real-life problems with precision and accuracy." "illustrates the six trigonometric ratios: sine, cosine, tangent, secant, cosecant, and cotangent."
"740" "M9GE-IVb-c" "M09GE4044" NA NA "finds the trigonometric ratios of special angles."
"741" "M9GE-IVd-1" "M09GE4045" NA NA "illustrates angles of elevation and angles of depression."
"742" "M9GE-IVe-1" "M09GE4046" NA NA "uses trigonometric ratios to solve real-life problems involving right triangles."
"743" "M9GE-IVf-g" "M09GE4047" NA NA "illustrates laws of sines and cosines."
"744" "M9GE-IVh-j" "M09GE4048" NA NA "solves problems involving oblique triangles."
"745" "M10AL-Ia-1" "M10AL1001" " understanding of key concepts of sequences, polynomials and polynomial equations." " formulate and solve problems involving sequences, polynomials and polynomial equations in different disciplines through appropriate and accurate representations." "generates patterns."
"746" "M10AL-Ib-1" "M10AL1002" NA NA "illustrates an arithmetic sequence"
"747" "M10AL-Ib-c" "M10AL1003" NA NA "determines arithmetic means and nth term of an arithmetic sequence."
"748" "M10AL-Ic-2" "M10AL1004" NA NA "finds the sum of the terms of a given arithmetic sequence."
"749" "M10AL-Id-1" "M10AL1005" NA NA "illustrates a geometric sequence."
"750" "M10AL-Id-2" "M10AL1006" NA NA "differentiates a geometric sequence from an arithmetic sequence."
"751" "M10AL-Id-3" "M10AL1007" NA NA "differentiates a finite geometric sequence from an infinite geometric sequence."
"752" "M10AL-Ie-1" "M10AL1008" NA NA "determines geometric means and nth term of a geometric sequence."
"753" "M10AL-Ie-2" "M10AL1009" NA NA "finds the sum of the terms of a given finite or infinite geometric sequence."
"754" "M10AL-If-1" "M10AL1010" NA NA "illustrates other types of sequences(-, harmonic, Fibonacci)."
"755" "M10AL-If-2" "M10AL1011" NA NA "solves problems involving sequences."
"756" "M10AL-Ig-1" "M10AL1012" NA NA "performs division of polynomials using long division and synthetic division."
"757" "M10AL-Ig-2" "M10AL1013" NA NA "proves the Remainder Theorem and the Factor Theorem."
"758" "M10AL-Ih-1" "M10AL1014" NA NA "factors polynomials."
"759" "M10AL-Ii-1" "M10AL1015" NA NA "illustrates polynomial equations."
"760" "M10AL-Ii-2" "M10AL1016" NA NA "proves Rational Root Theorem."
"761" "M10AL-Ij-1" "M10AL1017" NA NA "solves polynomial equations."
"762" "M10AL-Ij-2" "M10AL1018" NA NA "solves problems involving polynomials and polynomial equations."
"763" "M10AL-IIa-1" "M10AL2019" " understanding of key concepts of polynomial function." " conduct systematically a mathematical investigation involving polynomial functions in different fields." "illustrates polynomial functions."
"764" "M10AL-IIa-b" "M10AL2020" NA NA "graphs polynomial functions."
"765" "M10AL-IIb-2" "M10AL2021" NA NA "solves problems involving polynomial functions."
"766" "M10GE-IIc-1" "M10GE2022" " understanding of key concepts of circles and coordinate geometry.  " " formulate and find solutions to challenging situations involving circles and other related terms in different disciplines through appropriate and accurate representations. _ formulate and solve problems involving geometric figures on  the rectangular coordinate plane with perseverance and accuracy." "derives inductively the relations among chords, arcs, central angles, and inscribed angles."
"767" "M10GE-IIc-d" "M10GE2023" NA NA "proves theorems related to chords, arcs, central angles, and inscribed_angles"
"768" "M10GE-IIe-1" "M10GE2024" NA NA "illustrates secants, tangents, segments, and sectors of a circle."
"769" "M10GE-IIe-f" "M10GE2025" NA NA "proves  theorems on secants, tangents, and segments."
"770" "M10GE-IIf-2" "M10GE2026" NA NA "solves problems on circles."
"771" "M10GE-IIg-1" "M10GE2027" NA NA "derives the distance formula."
"772" "M10GE-IIg-2" "M10GE2028" NA NA "applies the distance formula to prove some geometric properties."
"773" "M10GE-IIh-1" "M10GE2029" NA NA "illustrates the center-radius form of theequation of a circle."
"774" "M10GE-IIh-2" "M10GE2030" NA NA "determines the center and radius of a circle given its equation and vice versa."
"775" "M10GE-IIi-1" "M10GE2031" NA NA "graphs a circle and other geometric figures on the coordinate plane."
"776" "M10GE-IIi-j" "M10GE2032" NA NA "solves problems involving geometric figures on the coordinate plane."
"777" "M10SP-IIIa-1" "M10SP3033" " understanding of key concepts of combinatorics and probability." " use precise counting technique and probability in formulating conclusions and making decisions." "illustrates the permutation of objects."
"778" "M10SP-IIIa-2" "M10SP3034" NA NA "derives the formula for finding the number of permutations of n  objectstaken  r  at a time."
"779" "M10SP-IIIb-1" "M10SP3035" NA NA "solves problems involving permutations."
"780" "M10SP-IIIc-1" "M10SP3036" NA NA "illustrates the combination of objects."
"781" "M10SP-IIIc-2" "M10SP3037" NA NA "differentiates permutation from combination of n  objects taken  r  ata time."
"782" "M10SP-IIId-1" "M10SP3038" NA NA "derives the formula for finding the number of combinations of n  objectstaken  r  at a time"
"783" "M10SP-IIId-e" "M10SP3039" NA NA "solves problems involving permutations and combinations."
"784" "M10SP-IIIf-1" "M10SP3040" NA NA "illustrates events, and union and intersection of events."
"785" "M10SP-IIIg-1" "M10SP3041" NA NA "illustrates the probability of a union of two events."
"786" "M10SP-IIIg-h" "M10SP3042" NA NA "finds the probability of <U+F028>A <U+F055>B<U+F029>."
"787" "M10SP-IIIi-1" "M10SP3043" NA NA "illustrates mutually exclusive events."
"788" "M10SP-IIIi-j" "M10SP3044" NA NA "solves problems involving probability."
"789" "M10SP-IVa-1" "M10SP4045" " understanding of key concepts of measures of position." " conduct systematically a mini- research applying the different statistical methods." "illustrates the following measures ofposition: quartiles, deciles and percentiles."
"790" "M10SP-IVb-1" "M10SP4046" NA NA "calculates a specified measure ofposition (- 90th percentile) of a set of data."
"791" "M10SP-IVc-1" "M10SP4047" NA NA "interprets measures of position."
"792" "M10SP-IVd-e" "M10SP4048" NA NA "solves problems involving measures of position."
"793" "M10SP-IVf-g" "M10SP4049" NA NA "formulates statistical mini-research."
"794" "M10SP-IVh-j" "M10SP4050" NA NA "uses appropriate measures of position and other statistical methods in analyzing and interpreting researchdata."
